window_start_s,HR_ECG,HR_PulseOx
0,111,111
2,110,111
4,107,111
6,109,111
8,114,111
10,116,110
12,111,109
14,109,110
16,109,110
18,90,110
20,101,112
22,112,112
24,113,112
26,112,112
28,108,112
30,109,112
32,110,112
34,113,113
36,113,113
38,113,113
40,113,113
42,112,113
44,110,113
46,110,113
48,114,113
50,115,112
52,112,110
54,110,111
56,111,111
58,112,111
60,108,111
62,105,111
64,106,111
66,115,111
68,114,110
70,114,111
72,114,111
74,114,112
76,114,113
78,114,113
80,115,113
82,115,114
84,113,114
86,110,114
88,111,114
90,111,113
92,110,112
94,109,112
96,111,111
98,113,110
100,114,110
102,113,110
104,111,110
106,110,111
108,112,111
110,114,112
112,116,111
114,114,110
116,111,110
118,112,110
120,114,110
122,117,110
124,115,110
126,108,110
128,102,110
130,106,110
132,114,111
134,113,113
136,113,113
138,114,114
140,114,113
142,113,113
144,113,113
146,114,112
148,114,112
150,115,112
152,117,112
154,116,112
156,114,112
158,112,112
160,113,112
162,111,112
164,112,111
166,111,111
168,110,111
170,108,112
172,108,111
174,109,111
176,111,111
178,111,109
180,110,109
182,110,108
184,112,109
186,112,110
188,113,110
190,111,111
192,111,111
194,111,112
196,111,112
198,110,112
200,111,111
202,113,111
204,114,110
206,113,111
208,112,111
210,112,112
212,112,113
214,112,113
216,110,112
218,110,112
220,111,112
222,112,112
224,111,111
226,110,110
228,110,110
230,109,110
232,112,110
234,114,109
236,114,109
238,114,109
240,115,109
242,115,109
244,116,109
246,116,109
248,114,109
250,115,110
252,114,112
254,104,114
256,96,115
258,92,115
260,95,115
262,102,115
264,110,114
266,114,114
268,113,114
270,113,113
272,114,113
274,116,112
276,116,112
278,116,113
280,113,113
282,112,112
284,111,112
286,111,112
288,112,112
290,110,112
292,110,113
294,110,111
296,89,110
