window_start_s,HR_ECG,HR_PulseOx
0,123,125
2,122,125
4,118,124
6,115,123
8,116,122
10,113,121
12,110,119
14,110,118
16,109,117
18,112,115
20,109,113
22,110,112
24,109,112
26,109,111
28,104,110
30,105,109
32,105,109
34,107,109
36,107,109
38,106,108  
40,104,107
42,102,107
44,101,106
46,102,105
48,102,104
50,101,102
52,100,102
54,101,101
56,98,102
58,99,101
60,94,99
62,92,99
64,92,99
66,99,100
68,100,100
70,100,100
72,102,100
74,103,100
76,103,100
78,105,101
80,106,102
82,105,103
84,105,105
86,105,106
88,104,106
90,105,105
92,106,105
94,105,104
96,106,105
98,107,105
100,106,106
102,106,105
104,105,106
106,104,106
108,103,106
110,103,105
112,103,104
114,103,103
116,102,103
118,102,102
120,102,102
122,92,101
124,89,102
126,92,102
128,86,101
130,94,102
132,102,102
134,107,101
136,106,102
138,104,103
140,102,104
142,103,105
144,105,104
146,104,103
148,102,103
150,100,103
152,100,102
154,100,102
156,100,101
158,101,100
160,101,100
162,100,101
164,100,101
166,102,101
168,105,101
170,103,100
172,101,100
174,100,101
176,100,103
178,103,102
180,102,101
182,104,102
184,106,102
186,106,103
188,103,104
190,101,105
192,101,104
194,102,104
196,103,103
198,103,102
200,104,102
202,105,102
204,105,104
206,103,105
208,104,105
210,105,105
212,105,104
214,104,103
216,103,104
218,103,104
220,102,103
222,103,103
224,102,103
226,103,103
228,107,102
230,107,102
232,103,103
234,101,105
236,104,106
238,105,105
240,103,104
242,100,103
244,100,102
246,101,102
248,103,102
250,103,101
252,100,102
254,94,102
256,85,102
258,82,102
260,85,101
262,92,101
264,100,102
266,102,102
268,102,102
270,102,102
272,102,102
274,102,102
276,102,102
278,102,102
280,103,102
282,103,102
284,103,103
286,103,103
288,103,103
290,104,103
292,103,103
294,103,104
296,103,103
